input_image,output_image,mse,psnr,ssim,lpips,timestamp
examples/1/input.jpeg,examples/1/output-1.png,10530.645980088975,7.906253479936157,0.4219718061995279,0.6173938512802124,2025-09-23 18:57:35
examples/1/input.jpeg,examples/1/output2.png,9225.900319552951,8.480716028677165,0.40743664373791494,0.6472203731536865,2025-09-23 18:57:36
examples/2/input.jpeg,examples/2/output-1.png,9077.652424376418,8.551068109106511,0.20655441412415818,0.650962769985199,2025-09-23 18:57:36
examples/2/input.jpeg,examples/2/output-2.png,4125.887499433106,11.975629789761769,0.3256697501875213,0.47665852308273315,2025-09-23 18:57:37
examples/3/input.jpeg,examples/3/output-1.png,2410.553295241903,14.30963623068548,0.5010248963500191,0.3706226348876953,2025-09-23 18:57:37
examples/3/input.jpeg,examples/3/output3.png,1901.3095103640896,15.340275403192734,0.5629933586646902,0.31738030910491943,2025-09-23 18:57:38
examples/4/input.jpg,examples/4/output-1.png,8639.444341788283,8.765945497611703,0.3560660734581761,0.6425440907478333,2025-09-23 18:57:38
examples/4/input.jpg,examples/4/output-2.png,14.828298691470682,36.41989035280616,0.9908276632795365,0.010801879689097404,2025-09-23 18:57:38
examples/5/input.jpeg,examples/5/output-1.png,519.076055812255,20.9784936486991,0.7068483031025735,0.11020154505968094,2025-09-23 18:57:39
examples/5/input.jpeg,examples/5/output-2.png,9996.655190933807,8.132256483792611,0.29108706108934473,0.6835359930992126,2025-09-23 18:57:40
examples/6/input.jpg,examples/6/output-1.png,2735.1044385698106,13.761064465682644,0.5045014459502368,0.5183227062225342,2025-09-23 18:57:40
examples/6/input.jpg,examples/6/output-2.png,4697.483514785767,11.412150961933008,0.37336988398775595,0.6387955546379089,2025-09-23 18:57:41
examples/7/input.jpg,examples/7/output1.png,6789.96449410645,9.81212857582101,0.3120735802575335,0.6255941987037659,2025-09-23 18:57:41
examples/7/input.jpg,examples/7/output2.png,10364.57622263709,7.975288111126791,0.20138039768126878,0.7054504752159119,2025-09-23 18:57:41
examples/8/input.jpg,examples/8/output1.png,7055.420057613169,9.645574854745307,0.16362940295218786,0.6563690304756165,2025-09-23 18:57:41
examples/8/input.jpg,examples/8/output2.png,8425.320855967078,8.874939120577515,0.1919070723278979,0.6632964611053467,2025-09-23 18:57:41
